icd10_code,cvd_term
I42.9,"Cardiomyopathy, unspecified"
I50,Heart failure
I50.0,Congestive heart failure
I50.1,Left ventricular failure
I50.9,"Heart failure, unspecified"
P29.0,Neonatal cardiac failure
Q22,Congenital malformations of pulmonary and tricuspid valves
Q22.0,Pulmonary valve atresia
Q22.1,Congenital pulmonary valve stenosis
Q22.2,Congenital pulmonary valve insufficiency
Q22.3,Other congenital malformations of pulmonary valve
Q22.4,Congenital tricuspid stenosis
Q22.5,Ebstein anomaly
Q22.8,Other congenital malformations of tricuspid valve
Q22.9,"Congenital malformation of tricuspid valve, unspecified"
Q23,Congenital malformations of aortic and mitral valves
Q23.0,Congenital stenosis of aortic valve
Q23.1,Congenital insufficiency of aortic valve
Q23.2,Congenital mitral stenosis
Q23.3,Congenital mitral insufficiency
Q23.8,Other congenital malformations of aortic and mitral valves
Q23.9,"Congenital malformation of aortic and mitral valves, unspecified"
Q24.3,Pulmonary infundibular stenosis
Q24.4,Congenital subaortic stenosis
T82.0,Mechanical complication of heart valve prosthesis
T82.2,Mechanical complication of coronary artery bypass and valve grafts
T82.6,Infection and inflammatory reaction due to cardiac valve prosthesis
Z95.2,Presence of prosthetic heart valve
Z95.3,Presence of xenogenic heart valve
Z95.4,Presence of other heart-valve replacement
